2 13
5.00000000000000000000000000000000000e-01 5.00000000000000000000000000000000000e-01 7.49983360897274108101607756678747563e-02
9.91730666306622785637039257006053975e-01 5.00000000000000000000000000000000000e-01 9.53215633746318440483789135142111556e-03
5.00000000000000000000000000000000000e-01 9.91730666306622785637039257006053975e-01 9.53215633746318440483789135142111556e-03
8.26933369337721436296074299394602519e-03 5.00000000000000000000000000000000000e-01 9.53215633746318440483789135142111556e-03
5.00000000000000000000000000000000000e-01 8.26933369337721436296074299394602519e-03 9.53215633746318440483789135142111556e-03
8.19930709183554880873083577897881535e-01 5.00000000000000000000000000000000000e-01 4.61338672424518030964561882984746178e-02
5.00000000000000000000000000000000000e-01 8.19930709183554880873083577897881535e-01 4.61338672424518030964561882984746178e-02
1.80069290816445119126916422102118465e-01 5.00000000000000000000000000000000000e-01 4.61338672424518030964561882984746178e-02
5.00000000000000000000000000000000000e-01 1.80069290816445119126916422102118465e-01 4.61338672424518030964561882984746178e-02
9.59389244039855700949197191486602142e-01 9.59389244039855700949197191486602142e-01 9.87678516186310842231685183543239981e-03
9.59389244039855700949197191486602142e-01 4.06107559601442990508028085133978576e-02 9.87678516186310842231685183543239981e-03
4.06107559601442990508028085133978576e-02 9.59389244039855700949197191486602142e-01 9.87678516186310842231685183543239981e-03
4.06107559601442990508028085133978576e-02 4.06107559601442990508028085133978576e-02 9.87678516186310842231685183543239981e-03
6.89814252593371927896377085517741745e-01 6.89814252593371927896377085517741745e-01 5.78496298501713468547957776601157982e-02
6.89814252593371927896377085517741745e-01 3.10185747406628072103622914482258255e-01 5.78496298501713468547957776601157982e-02
3.10185747406628072103622914482258255e-01 6.89814252593371927896377085517741745e-01 5.78496298501713468547957776601157982e-02
3.10185747406628072103622914482258255e-01 3.10185747406628072103622914482258255e-01 5.78496298501713468547957776601157982e-02
8.49777108256675555149603016421996703e-01 8.49777108256675555149603016421996703e-01 3.43105241782508716946653183989475406e-02
8.49777108256675555149603016421996703e-01 1.50222891743324444850396983578003297e-01 3.43105241782508716946653183989475406e-02
1.50222891743324444850396983578003297e-01 8.49777108256675555149603016421996703e-01 3.43105241782508716946653183989475406e-02
1.50222891743324444850396983578003297e-01 1.50222891743324444850396983578003297e-01 3.43105241782508716946653183989475406e-02
8.21798687498309060156249078878001340e-01 9.87534441952991759968276034019055473e-01 8.37994501259535756984707446702003160e-03
9.87534441952991759968276034019055473e-01 8.21798687498309060156249078878001340e-01 8.37994501259535756984707446702003160e-03
8.21798687498309060156249078878001340e-01 1.24655580470082400317239659809445271e-02 8.37994501259535756984707446702003160e-03
1.24655580470082400317239659809445271e-02 8.21798687498309060156249078878001340e-01 8.37994501259535756984707446702003160e-03
1.78201312501690939843750921121998660e-01 9.87534441952991759968276034019055473e-01 8.37994501259535756984707446702003160e-03
9.87534441952991759968276034019055473e-01 1.78201312501690939843750921121998660e-01 8.37994501259535756984707446702003160e-03
1.78201312501690939843750921121998660e-01 1.24655580470082400317239659809445271e-02 8.37994501259535756984707446702003160e-03
1.24655580470082400317239659809445271e-02 1.78201312501690939843750921121998660e-01 8.37994501259535756984707446702003160e-03
6.66769940582391551425835999024479289e-01 9.32213804633530955787536338708753644e-01 2.83937815910885588423468148022998878e-02
9.32213804633530955787536338708753644e-01 6.66769940582391551425835999024479289e-01 2.83937815910885588423468148022998878e-02
6.66769940582391551425835999024479289e-01 6.77861953664690442124636612912463560e-02 2.83937815910885588423468148022998878e-02
6.77861953664690442124636612912463560e-02 6.66769940582391551425835999024479289e-01 2.83937815910885588423468148022998878e-02
3.33230059417608448574164000975520711e-01 9.32213804633530955787536338708753644e-01 2.83937815910885588423468148022998878e-02
9.32213804633530955787536338708753644e-01 3.33230059417608448574164000975520711e-01 2.83937815910885588423468148022998878e-02
3.33230059417608448574164000975520711e-01 6.77861953664690442124636612912463560e-02 2.83937815910885588423468148022998878e-02
6.77861953664690442124636612912463560e-02 3.33230059417608448574164000975520711e-01 2.83937815910885588423468148022998878e-02
