# Witherden, F. D.; Vincent, P. E. On the identification of symmetric quadrature rules for finite element methods. Comput. Math. Appl. 69 (2015), no. 10, 1232-1241
2 19
8.57172129786397118599003759653949100e-01 5.00000000000000000000000000000000000e-01 2.44343411732071870608795876963818858e-02
5.00000000000000000000000000000000000e-01 8.57172129786397118599003759653949100e-01 2.44343411732071870608795876963818858e-02
1.42827870213602881400996240346050900e-01 5.00000000000000000000000000000000000e-01 2.44343411732071870608795876963818858e-02
5.00000000000000000000000000000000000e-01 1.42827870213602881400996240346050900e-01 2.44343411732071870608795876963818858e-02
6.32836026060481878172606384745447341e-01 5.00000000000000000000000000000000000e-01 3.48269032306205614260523100273346452e-02
5.00000000000000000000000000000000000e-01 6.32836026060481878172606384745447341e-01 3.48269032306205614260523100273346452e-02
3.67163973939518121827393615254552659e-01 5.00000000000000000000000000000000000e-01 3.48269032306205614260523100273346452e-02
5.00000000000000000000000000000000000e-01 3.67163973939518121827393615254552659e-01 3.48269032306205614260523100273346452e-02
9.82217134628983625737949167269804898e-01 5.00000000000000000000000000000000000e-01 8.71739587297197750054060367268332278e-03
5.00000000000000000000000000000000000e-01 9.82217134628983625737949167269804898e-01 8.71739587297197750054060367268332278e-03
1.77828653710163742620508327301951024e-02 5.00000000000000000000000000000000000e-01 8.71739587297197750054060367268332278e-03
5.00000000000000000000000000000000000e-01 1.77828653710163742620508327301951024e-02 8.71739587297197750054060367268332278e-03
9.01689864733842500922849726587775312e-01 9.01689864733842500922849726587775312e-01 1.19511367906989486987512082778673169e-02
9.01689864733842500922849726587775312e-01 9.83101352661574990771502734122246880e-02 1.19511367906989486987512082778673169e-02
9.83101352661574990771502734122246880e-02 9.01689864733842500922849726587775312e-01 1.19511367906989486987512082778673169e-02
9.83101352661574990771502734122246880e-02 9.83101352661574990771502734122246880e-02 1.19511367906989486987512082778673169e-02
9.96082702948567360948722637038165110e-01 9.96082702948567360948722637038165110e-01 4.04428794477940202748186265082100874e-04
9.96082702948567360948722637038165110e-01 3.91729705143263905127736296183488960e-03 4.04428794477940202748186265082100874e-04
3.91729705143263905127736296183488960e-03 9.96082702948567360948722637038165110e-01 4.04428794477940202748186265082100874e-04
3.91729705143263905127736296183488960e-03 3.91729705143263905127736296183488960e-03 4.04428794477940202748186265082100874e-04
9.64724801399804692962269862808949078e-01 9.64724801399804692962269862808949078e-01 4.36026200858894061602460608994955352e-03
9.64724801399804692962269862808949078e-01 3.52751986001953070377301371910509224e-02 4.36026200858894061602460608994955352e-03
3.52751986001953070377301371910509224e-02 9.64724801399804692962269862808949078e-01 4.36026200858894061602460608994955352e-03
3.52751986001953070377301371910509224e-02 3.52751986001953070377301371910509224e-02 4.36026200858894061602460608994955352e-03
7.55139128684671675291402604280421687e-01 6.33320157297281087833268117993636148e-01 2.94314582100140200056974646312015593e-02
6.33320157297281087833268117993636148e-01 7.55139128684671675291402604280421687e-01 2.94314582100140200056974646312015593e-02
7.55139128684671675291402604280421687e-01 3.66679842702718912166731882006363852e-01 2.94314582100140200056974646312015593e-02
3.66679842702718912166731882006363852e-01 7.55139128684671675291402604280421687e-01 2.94314582100140200056974646312015593e-02
2.44860871315328324708597395719578313e-01 6.33320157297281087833268117993636148e-01 2.94314582100140200056974646312015593e-02
6.33320157297281087833268117993636148e-01 2.44860871315328324708597395719578313e-01 2.94314582100140200056974646312015593e-02
2.44860871315328324708597395719578313e-01 3.66679842702718912166731882006363852e-01 2.94314582100140200056974646312015593e-02
3.66679842702718912166731882006363852e-01 2.44860871315328324708597395719578313e-01 2.94314582100140200056974646312015593e-02
6.95367102887624875621732085592814397e-01 9.93946466570867654785396885454828844e-01 4.04489440291446244741471031223849562e-03
9.93946466570867654785396885454828844e-01 6.95367102887624875621732085592814397e-01 4.04489440291446244741471031223849562e-03
6.95367102887624875621732085592814397e-01 6.05353342913234521460311454517115589e-03 4.04489440291446244741471031223849562e-03
6.05353342913234521460311454517115589e-03 6.95367102887624875621732085592814397e-01 4.04489440291446244741471031223849562e-03
3.04632897112375124378267914407185603e-01 9.93946466570867654785396885454828844e-01 4.04489440291446244741471031223849562e-03
9.93946466570867654785396885454828844e-01 3.04632897112375124378267914407185603e-01 4.04489440291446244741471031223849562e-03
3.04632897112375124378267914407185603e-01 6.05353342913234521460311454517115589e-03 4.04489440291446244741471031223849562e-03
6.05353342913234521460311454517115589e-03 3.04632897112375124378267914407185603e-01 4.04489440291446244741471031223849562e-03
8.58583960654872598031542780633060470e-01 7.56245938608048827877396400728550092e-01 2.07116547458512234852033681777784476e-02
7.56245938608048827877396400728550092e-01 8.58583960654872598031542780633060470e-01 2.07116547458512234852033681777784476e-02
8.58583960654872598031542780633060470e-01 2.43754061391951172122603599271449908e-01 2.07116547458512234852033681777784476e-02
2.43754061391951172122603599271449908e-01 8.58583960654872598031542780633060470e-01 2.07116547458512234852033681777784476e-02
1.41416039345127401968457219366939530e-01 7.56245938608048827877396400728550092e-01 2.07116547458512234852033681777784476e-02
7.56245938608048827877396400728550092e-01 1.41416039345127401968457219366939530e-01 2.07116547458512234852033681777784476e-02
1.41416039345127401968457219366939530e-01 2.43754061391951172122603599271449908e-01 2.07116547458512234852033681777784476e-02
2.43754061391951172122603599271449908e-01 1.41416039345127401968457219366939530e-01 2.07116547458512234852033681777784476e-02
6.32720003905647998035998529307675075e-01 9.34451217077252119290598051054239192e-01 1.62472703731490115197649501917039030e-02
9.34451217077252119290598051054239192e-01 6.32720003905647998035998529307675075e-01 1.62472703731490115197649501917039030e-02
6.32720003905647998035998529307675075e-01 6.55487829227478807094019489457608084e-02 1.62472703731490115197649501917039030e-02
6.55487829227478807094019489457608084e-02 6.32720003905647998035998529307675075e-01 1.62472703731490115197649501917039030e-02
3.67279996094352001964001470692324925e-01 9.34451217077252119290598051054239192e-01 1.62472703731490115197649501917039030e-02
9.34451217077252119290598051054239192e-01 3.67279996094352001964001470692324925e-01 1.62472703731490115197649501917039030e-02
