# Witherden, F. D.; Vincent, P. E. On the identification of symmetric quadrature rules for finite element methods. Comput. Math. Appl. 69 (2015), no. 10, 1232-1241
2 14
1.77205532412543436956610690465059076e-01 6.45588935174913126086778619069881848e-01 2.10812943684965087691152186620930649e-02
6.45588935174913126086778619069881848e-01 1.77205532412543436956610690465059076e-01 2.10812943684965087691152186620930649e-02
1.77205532412543436956610690465059076e-01 1.77205532412543436956610690465059076e-01 2.10812943684965087691152186620930649e-02
4.17644719340453922509440822185643439e-01 1.64710561319092154981118355628713122e-01 1.63941767720626753206554893693126716e-02
1.64710561319092154981118355628713122e-01 4.17644719340453922509440822185643439e-01 1.63941767720626753206554893693126716e-02
4.17644719340453922509440822185643439e-01 4.17644719340453922509440822185643439e-01 1.63941767720626753206554893693126716e-02
6.17998830908726012674788284369357884e-02 8.76400233818254797465042343126128423e-01 7.21684983488833380085496074032665831e-03
8.76400233818254797465042343126128423e-01 6.17998830908726012674788284369357884e-02 7.21684983488833380085496074032665831e-03
6.17998830908726012674788284369357884e-02 6.17998830908726012674788284369357884e-02 7.21684983488833380085496074032665831e-03
4.88963910362178638677376020452390236e-01 2.20721792756427226452479590952195284e-02 1.09417906847144453204224729816629858e-02
2.20721792756427226452479590952195284e-02 4.88963910362178638677376020452390236e-01 1.09417906847144453204224729816629858e-02
4.88963910362178638677376020452390236e-01 4.88963910362178638677376020452390236e-01 1.09417906847144453204224729816629858e-02
2.73477528308838659754944283262698556e-01 4.53044943382322680490111433474602888e-01 2.58870522536457931573924550831982012e-02
4.53044943382322680490111433474602888e-01 2.73477528308838659754944283262698556e-01 2.58870522536457931573924550831982012e-02
2.73477528308838659754944283262698556e-01 2.73477528308838659754944283262698556e-01 2.58870522536457931573924550831982012e-02
1.93909612487010481782500950545295111e-02 9.61218077502597903643499809890940978e-01 2.46170180120004084091301175452107738e-03
9.61218077502597903643499809890940978e-01 1.93909612487010481782500950545295111e-02 2.46170180120004084091301175452107738e-03
1.93909612487010481782500950545295111e-02 1.93909612487010481782500950545295111e-02 2.46170180120004084091301175452107738e-03
2.98372882136257752970831518059612729e-01 6.86980167808087837358627154020313060e-01 7.21815405676692024804434599950790172e-03
6.86980167808087837358627154020313060e-01 2.98372882136257752970831518059612729e-01 7.21815405676692024804434599950790172e-03
1.46469500556544096705413279200742117e-02 6.86980167808087837358627154020313060e-01 7.21815405676692024804434599950790172e-03
6.86980167808087837358627154020313060e-01 1.46469500556544096705413279200742117e-02 7.21815405676692024804434599950790172e-03
1.46469500556544096705413279200742117e-02 2.98372882136257752970831518059612729e-01 7.21815405676692024804434599950790172e-03
2.98372882136257752970831518059612729e-01 1.46469500556544096705413279200742117e-02 7.21815405676692024804434599950790172e-03
5.71247574036479390356771242189147103e-02 7.70608554774996482589033274167427956e-01 1.23328766062818369814376225918181142e-02
7.70608554774996482589033274167427956e-01 5.71247574036479390356771242189147103e-02 1.23328766062818369814376225918181142e-02
1.72266687821355578375289601613657333e-01 7.70608554774996482589033274167427956e-01 1.23328766062818369814376225918181142e-02
7.70608554774996482589033274167427956e-01 1.72266687821355578375289601613657333e-01 1.23328766062818369814376225918181142e-02
1.72266687821355578375289601613657333e-01 5.71247574036479390356771242189147103e-02 1.23328766062818369814376225918181142e-02
5.71247574036479390356771242189147103e-02 1.72266687821355578375289601613657333e-01 1.23328766062818369814376225918181142e-02
3.36861459796345001744055197088925389e-01 5.70222290846683173497696213362354260e-01 1.92857553935303416142445139052054296e-02
5.70222290846683173497696213362354260e-01 3.36861459796345001744055197088925389e-01 1.92857553935303416142445139052054296e-02
9.29162493569718247582485895487203513e-02 5.70222290846683173497696213362354260e-01 1.92857553935303416142445139052054296e-02
5.70222290846683173497696213362354260e-01 9.29162493569718247582485895487203513e-02 1.92857553935303416142445139052054296e-02
9.29162493569718247582485895487203513e-02 3.36861459796345001744055197088925389e-01 1.92857553935303416142445139052054296e-02
3.36861459796345001744055197088925389e-01 9.29162493569718247582485895487203513e-02 1.92857553935303416142445139052054296e-02
1.26833093287202508724640109549269268e-03 8.79757171370171129514571636974601826e-01 2.50511441925033588493004654124455823e-03
8.79757171370171129514571636974601826e-01 1.26833093287202508724640109549269268e-03 2.50511441925033588493004654124455823e-03
1.18974497696956845398181961929905481e-01 8.79757171370171129514571636974601826e-01 2.50511441925033588493004654124455823e-03
8.79757171370171129514571636974601826e-01 1.18974497696956845398181961929905481e-01 2.50511441925033588493004654124455823e-03
1.18974497696956845398181961929905481e-01 1.26833093287202508724640109549269268e-03 2.50511441925033588493004654124455823e-03
1.26833093287202508724640109549269268e-03 1.18974497696956845398181961929905481e-01 2.50511441925033588493004654124455823e-03
