2 6
6.30890144915022283403316028708191573e-02 8.73821971016995543319336794258361685e-01 2.54224531851034084604684045534344920e-02
8.73821971016995543319336794258361685e-01 6.30890144915022283403316028708191573e-02 2.54224531851034084604684045534344920e-02
6.30890144915022283403316028708191573e-02 6.30890144915022283403316028708191573e-02 2.54224531851034084604684045534344920e-02
2.49286745170910421291638553107019076e-01 5.01426509658179157416722893785961848e-01 5.83931378631896830126448056927897207e-02
5.01426509658179157416722893785961848e-01 2.49286745170910421291638553107019076e-01 5.83931378631896830126448056927897207e-02
2.49286745170910421291638553107019076e-01 2.49286745170910421291638553107019076e-01 5.83931378631896830126448056927897207e-02
5.31450498448169473532496716313981470e-02 6.36502499121398647230142594412049700e-01 4.14255378091867875967767282102212270e-02
6.36502499121398647230142594412049700e-01 5.31450498448169473532496716313981470e-02 4.14255378091867875967767282102212270e-02
3.10352451033784405416607733956552153e-01 6.36502499121398647230142594412049700e-01 4.14255378091867875967767282102212270e-02
6.36502499121398647230142594412049700e-01 3.10352451033784405416607733956552153e-01 4.14255378091867875967767282102212270e-02
3.10352451033784405416607733956552153e-01 5.31450498448169473532496716313981470e-02 4.14255378091867875967767282102212270e-02
5.31450498448169473532496716313981470e-02 3.10352451033784405416607733956552153e-01 4.14255378091867875967767282102212270e-02
